Day,Date,Type,Hours,Rate,Tip ,Total,Per Hour,,,,
Mon,12/14/20,Server Train,6.55,12,0,78.6,12,,254.91," $8,603.78 ",
Tue,12/15/20,Server Train,6.53,12,0,78.36,12,,, $33.18 ,
Thu,12/17/20,Server Train,6.2,12,0,74.4,12,,, $33.75 ,
Sat,12/19/20,Server Train,7.02,12,0,84.24,12,,,,
Sun,12/20/20,Server Train,6.75,12,0,81,12,,,,
Mon,12/21/20,Server,4.88,9,103.99,147.91,30.30942623,,,,
Tue,12/22/20,Server,4.7,9,100.22,142.52,30.32340426,,,184.3333333,921.6666667
Wed,12/23/20,Server,4.95,9,218.86,263.41,53.21414141,,,33,47926.66667
Thu,12/24/20,Server,6.58,9,153,212.22,32.25227964,,,,  
Sat,12/26/20,Server,6.65,9,139.57,199.42,29.98796992,,,,
Sun,12/27/20,Server,5.96,9,153.94,207.58,34.82885906,,,,
Mon,12/28/20,Server,6.22,9,174.8,230.78,37.10289389,,,,
Wed,12/30/20,Server,5.28,9,167.06,214.58,40.64015152,,,,
Thu,12/31/20,Server,7.9,9,232.08,303.18,38.37721519,,,,
Fri,1/1/21,Server,6.83,9.15,162.11,224.6045,32.88499268,,,,
Sat,1/2/21,Server,6.56,9.15,188.42,248.444,37.87256098,,,,
Sun,1/3/21,Server,6.55,9.15,96.35,156.2825,23.85992366,,,,
Mon,1/4/21,Server,5.18,9.15,153.14,200.537,38.71370656,,,,
Wed,1/6/21,Server,4.13,9.15,107.7,145.4895,35.22748184,,,,
Thu,1/7/21,Server,4.9,9.15,144.42,189.255,38.62346939,,,,
Fri,1/8/21,Server,6.95,9.15,112.73,176.3225,25.37014388,,,,
Sat,1/9/21,Server,6.88,9.15,231.3,294.252,42.76918605,,,,
Sun,1/10/21,Server,5.4,9.15,77.99,127.4,23.59259259,,,,
Mon,1/11/21,Server,4.85,9.15,85.82,130.1975,26.84484536,,,,
Wed,1/13/21,Server,4.43,9.15,122.1,162.6345,36.71207675,,,,
Thu,1/14/21,Server,5.46,9.15,140.62,190.579,34.90457875,,,,
Fri,1/15/21,Server,6.9,9.15,145.14,208.275,30.18478261,,,,
Sat,1/16/21,Meeting,1.25,12.15,0,15.1875,12.15,,,,
Sat,1/16/21,Server,6.83,9.15,210.14,272.6345,39.91720351,,,,
Sun,1/17/21,Server,6.23,9.15,74.46,131.4645,21.10184591,,,,
Mon,1/18/21,Server,5.9,9.15,163.21,217.195,36.81271186,,,,
Thu,1/21/21,Server,4.92,9.15,65.14,110.158,22.3898374,,,,
Fri,1/22/21,Server,6.7,9.15,170.05,231.355,34.53059701,,,,
Sat,1/23/21,Server,6.88,9.15,167.16,230.112,33.44651163,,,33,0.55
Sun,1/24/21,Server,5.68,9.15,159.5,211.472,37.23098592,,,,
Mon,1/25/21,Server,4.48,9.15,90.84,131.832,29.42678571,,,,
Wed,1/27/21,Server,5.27,9.15,86.93,135.1505,25.64525617,,,,
Fri,1/29/21,Server,6.77,9.15,200.12,262.0655,38.70982275,,,,
Sat,1/30/21,Server,7.18,9.15,246.85,312.547,43.53022284,,,,
Sun,1/31/21,Server,5.83,9.15,101.38,154.7245,26.53936535,,,,
Mon,2/1/21,Missing,,,,,,,,,
Sat,2/6/21,Server,7.5,9.15,175.33,243.955,32.52733333,,,,
Sun,2/7/21,Server,5.23,9.15,62.38,110.2345,21.07734226,,,,
Mon,2/8/21,Missing,,,,,,,,,
Wed,2/10/21,Server,4.83,9.15,156.86,201.0545,41.62619048,,,,
Fri,2/12/21,Server,6.95,9.15,196.15,259.7425,37.37302158,,,,
Sat,2/13/21,Server,6.82,9.15,238.65,301.053,44.14266862,,,,
Sun,2/14/21,RBR,5.05,15,0,75.75,15,,,,
Mon,2/15/21,Server,5.78,9.15,228.51,281.397,48.68460208,,,,
Tue,2/16/21,Server,5.32,9.15,140.09,188.768,35.48270677,,,,
Wed,2/17/21,Server,5.37,9.15,100.92,150.0555,27.94329609,,,,
